No,Site_name,Cover_type,Latitude,Longitude,Elevation,used,LAI,MOD_LAI,LAI_ratio,MAT,MAP,Year_start,Year_end,Year,CO2,PAR_in,PAR_out,SWC,Tower_h,Canopy_h,TAXNWRB,TAXOUSDA,MOD_LUCC,CP,INST,Tower_hnew,Canopy_hnew,CP_new,INST_new
172,US-Cop,GRA,38.09,-109.39,1520,FALSE,NaN,0.331428169,NaN,NULL,NULL,2001,2007,7,,,,,,,,,OSH,,,1.65,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
173,US-CRT,CRO,41.628495,-83.347086,180,TRUE,NaN,2.238084104,1.032894666,10.1,849,2011,2013,3,,,,,,,,,CRO,,,2,0.42375,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
174,US-GBT,ENF,41.36579,-106.2397,3191,TRUE,3,1.497642765,2.003147927,0.8,1200,1999,2006,8,,,,,,,,,ENF,,,27.15,11.55,0,GA_OP-LI-COR LI-7500;SA-ATI Vx Style
175,US-Goo,GRA,34.2547,-89.8735,87,FALSE,2,3.076253479,NaN,15.89,1425.77,2002,2006,5,,,,,,,,,CVM,,,4,0.35,0,GA_OP-Other;SA-Gill R2
176,US-Ha1,DBF,42.5378,-72.1715,340,FALSE,5.2,4.997681089,NaN,6.62,1071,1991,2012,22,,,,,,,,,MF,,,29,24.2,1,GA_CP-LI-COR LI-6262;SA-ATI SATI K Style
177,US-IB2,GRA,41.84062,-88.24103,226.5,FALSE,NaN,2.013865281,NaN,9.04,930.25,2004,2011,8,,,,,,,,,URB,,,3.76,1.196190476,0,GA_OP-LI-COR LI-7500;SA-Gill R3-100
178,US-Ivo,WET,68.4865,-155.7503,568,FALSE,NaN,1.646055717,NaN,-8.28,304,2004,2007,4,,,,,,,,,OSH,,,3.42,0.3,1,GA_CP-LI-COR LI-7200;SA-Metek uSonic-3 Class A
179,US-KS1,ENF,28.4583,-80.6709,1,FALSE,NaN,2.854854265,NaN,21.9,1266,2002,2002,1,,,,,,,,,EBF,,,18,13,1,GA_CP-LI-COR LI-6262;SA-Gill R3A-100
180,US-Lin,CRO,36.3566,-119.8423,131,TRUE,NaN,1.230626568,1.513780834,NULL,NULL,2009,2010,2,,,,,,,,,CRO,,,9.18,3.7,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
181,US-Los,WET,46.0827,-89.9792,480,FALSE,4.24,4.358540917,NaN,4.08,828,2000,2014,15,,,,,,,,,MF,,,10.2,2,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3A
182,US-LWW,GRA,34.9604,-97.9789,365,TRUE,NaN,1.566180009,1.349891025,16.09,805.12,1997,1998,2,,,,,,,,,GRA,,,3,0.4,0,GA_OP-Other;SA-Gill R2
183,US-Me1,ENF,44.5794,-121.5,896,TRUE,NaN,1.73314588,1.765213681,7.88,704.61,2004,2005,2,,,,,,,,,ENF,,,10,7.2,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
184,US-Me3,ENF,44.3154,-121.6078,1005,FALSE,0.52,1.742109068,NaN,7.07,719,2004,2009,6,,,,,,,,,ENF,,,12,3.11,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
185,US-Me4,ENF,44.4992,-121.6224,922,TRUE,2,2.16066457,0.925641133,7.61,1038.82,1996,2000,5,,,,,,,,,ENF,,,47,16.5,0,GA_OP-Other;SA-Gill R2
186,US-Me5,ENF,44.43719,-121.56676,1188,TRUE,1.1,1.855060809,0.592972475,6.47,590.81,2000,2002,3,,,,,,,,,ENF,,,12,4.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
187,US-Me6,ENF,44.3232842,-121.6078,998,TRUE,1.8,1.742109068,1.033230372,7.594,494.34,2010,2014,5,,,,,,,,,ENF,,,12,5.855,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
188,US-Myb,WET,38.049861,-121.76498,-4,FALSE,NaN,1.437824562,NaN,15.9,338,2010,2014,5,,,,,,,,,WAT,,,4.3375,2.395333333,0,GA_OP-LI-COR LI-7500A;SA-Gill Windmaster
189,US-Oho,DBF,41.5545,-83.8438,230,FALSE,4,2.866120019,NaN,10.1,849,2004,2013,10,,,,,,,,,CVM,,,33,24.25,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
190,US-ORv,WET,40.0201,-83.0183,221,FALSE,NaN,1.600534101,NaN,11.63,1499.1,2011,2011,1,,,,,,,,,URB,,,9.6,8,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
191,US-PFa,MF,45.9459,-90.2723,470,FALSE,NaN,5.016069639,NaN,4.33,823,1995,2014,20,,,,,,,,,MF,,,198,24,1,GA_CP-LI-COR LI-6262;SA-ATI SATI K Style
192,US-Prr,ENF,65.12367,-147.48756,210,TRUE,0.73,2.413458709,0.302470474,-2,275,2010,2014,5,,,,,,,,,ENF,,,11,2.53,1,GA_CP-LI-COR LI-7200;SA-Gill Windmaster Pro
193,US-SRC,MF,31.9083,-110.8395,950,FALSE,NaN,0.447964025,NaN,22,330,2008,2014,7,,,,,,,,,OSH,,,3.75,1.7,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
194,US-Sta,OSH,41.3966,-106.8024,2069,FALSE,NaN,0.745037344,NaN,5.1,NULL,2005,2009,5,,,,,,,,,GRA,,,3,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
195,US-Tw1,WET,38.1074,-121.6469,-5,FALSE,NaN,1.693423481,NaN,15.5,421,2012,2014,3,,,,,,,,,CRO,,,4.64,3.283,0,GA_OP-LI-COR LI-7500A;SA-Gill Windmaster
196,US-Tw2,CRO,38.1047,-121.6433,-5,TRUE,NaN,1.693423481,1.513780834,15.5,421,2012,2013,2,,,,,,,,,CRO,,,5.15,1.805833333,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
197,US-Tw3,CRO,38.1159,-121.6467,-9,TRUE,NaN,1.693423481,1.513780834,15.6,421,2013,2014,2,,,,,,,,,CRO,,,2.8,0.276261905,0,GA_OP-LI-COR LI-7500A;SA-Gill Windmaster
198,US-Tw4,WET,38.10298,-121.6414,-5,FALSE,NaN,1.693423481,NaN,15.6,421,2013,2014,2,,,,,,,,,CRO,,,5.36,3.0315,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
199,US-Twt,CRO,38.1087204,-121.6531,-7,TRUE,NaN,1.537105116,1.513780834,15.6,421,2009,2014,6,,,,,,,,,CRO,,,3.18,0.582227273,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
200,US-Whs,OSH,31.7438,-110.0522,1370,TRUE,0.57,0.564066456,1.010519229,17.6,320,2007,2014,8,,,,,,,,,OSH,,,4.8,1,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
201,US-Wi0,ENF,46.618778,-91.081444,349,FALSE,NaN,4.791868553,NaN,NULL,NULL,2002,2002,1,,,,,,,,,MF,,,6,4,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
202,US-Wi1,DBF,46.730472,-91.232944,352,TRUE,NaN,5.141624358,0.813878752,NULL,NULL,2003,2003,1,,,,,,,,,DBF,,,9,6,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
203,US-Wi2,ENF,46.686889,-91.152833,395,FALSE,NaN,4.903908196,NaN,NULL,NULL,2003,2003,1,,,,,,,,,MF,,,9,6,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
204,US-Wi3,DBF,46.634722,-91.098667,411,TRUE,3.9,4.791868553,0.813878752,NULL,NULL,2002,2004,3,,,,,,,,,DBF,,,26,20.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
205,US-Wi4,ENF,46.739333,-91.16625,352,FALSE,2.8,5.017298146,NaN,NULL,NULL,2002,2005,4,,,,,,,,,MF,,,23,18,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
206,US-Wi5,ENF,46.653083,-91.085806,353,FALSE,NaN,4.811265822,NaN,NULL,NULL,2004,2004,1,,,,,,,,,MF,,,6,4,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
207,US-Wi6,OSH,46.624889,-91.298222,371,FALSE,NaN,4.833244928,NaN,NULL,NULL,2002,2003,2,,,,,,,,,CVM,,,3,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
208,US-Wi7,OSH,46.649111,-91.069278,335,FALSE,NaN,4.791868553,NaN,NULL,NULL,2005,2005,1,,,,,,,,,DBF,,,6,NaN,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
209,US-Wi8,DBF,46.722333,-91.252417,348,FALSE,NaN,5.222384393,NaN,NULL,NULL,2002,2002,1,,,,,,,,,MF,,,3,1.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
210,US-Wi9,ENF,46.618778,-91.081444,350,FALSE,NaN,4.791868553,NaN,NULL,NULL,2004,2005,2,,,,,,,,,MF,,,9,2.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
211,US-WPT,WET,41.464639,-82.996157,175,FALSE,NaN,2.146678534,NaN,10.1,849,2011,2013,3,,,,,,,,,WSA,,,2.7,1.48,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
212,ZA-Kru,SAV,-25.0197,31.4969,359,FALSE,0.42,1.773863917,NaN,21.9,547,2000,2013,14,,,,,,,,,SAV,,,NaN,NaN,NaN,NaN
